grid,revisit_penalty,bias_factor,avg steps to goal,reached goal %,hit obstacle %,steps to goal list
map_environment/map_files/grid_world_1.csv,0.1,0.1,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.1,0.1,42.88,1.0,0.0,"[17, 65, 65, 65, 53, 61, 61, 43, 65, 17, 17, 17, 71, 17, 61, 37, 33, 17, 73, 71, 55, 65, 55, 35, 55, 87, 59, 17, 57, 81, 17, 49, 59, 17, 55, 85, 67, 79, 41, 81, 49, 71, 17, 17, 17, 17, 71, 17, 65, 33, 49, 17, 17, 83, 51, 45, 55, 17, 17, 51, 57, 17, 17, 51, 43, 17, 17, 73, 67, 51, 17, 17, 65, 37, 17, 17, 17, 49, 67, 17, 17, 17, 17, 81, 37, 61, 17, 17, 17, 17, 45, 45, 17, 17, 55, 41, 69, 49, 47, 57]"
map_environment/map_files/grid_world_3.csv,0.1,0.1,23.357142857142858,0.56,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 193, 17, 17, 17, 197, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.1,0.2,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.1,0.2,57.22,1.0,0.0,"[71, 79, 17, 69, 17, 81, 73, 91, 17, 79, 77, 17, 63, 93, 17, 17, 87, 17, 105, 81, 17, 77, 17, 95, 95, 93, 17, 73, 89, 17, 17, 99, 103, 57, 85, 17, 67, 75, 97, 81, 17, 17, 77, 83, 105, 17, 87, 71, 75, 67, 81, 101, 59, 79, 63, 59, 17, 61, 61, 75, 53, 17, 17, 65, 17, 55, 17, 95, 17, 17, 97, 105, 99, 17, 83, 17, 91, 51, 93, 17, 17, 17, 85, 81, 17, 99, 17, 57, 17, 47, 17, 17, 55, 85, 87, 97, 17, 91, 17, 17]"
map_environment/map_files/grid_world_3.csv,0.1,0.2,17.0,0.49,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.1,0.3,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_2.csv,0.1,0.3,66.9,1.0,0.0,"[75, 109, 93, 17, 101, 77, 99, 77, 109, 17, 103, 79, 17, 91, 17, 85, 89, 17, 71, 17, 17, 105, 91, 17, 17, 95, 95, 17, 95, 109, 99, 79, 17, 101, 105, 77, 103, 89, 99, 101, 17, 17, 17, 109, 17, 17, 17, 17, 79, 17, 17, 17, 77, 95, 93, 103, 91, 17, 17, 79, 17, 101, 109, 91, 99, 93, 17, 17, 75, 89, 71, 99, 91, 103, 17, 17, 113, 17, 17, 17, 95, 87, 17, 17, 107, 99, 97, 115, 17, 103, 99, 107, 105, 95, 95, 101, 113, 17, 99, 17]"
map_environment/map_files/grid_world_3.csv,0.1,0.3,17.0,0.44,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
map_environment/map_files/grid_world_1.csv,0.1,0.4,17.0,1.0,0.0,"[17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
