s,a,r,sp
68,4,0,67
67,4,0,66
66,3,0,76
76,3,0,86
86,5,0,86
86,3,0,96
96,1,0,86
86,5,0,86
86,1,0,76
76,4,0,75
75,2,0,76
76,5,0,76
76,5,0,76
76,4,0,75
75,3,0,85
85,2,0,86
86,3,0,96
96,1,0,86
86,3,0,96
96,1,0,86
86,3,0,96
96,4,0,95
95,4,0,94
94,4,0,93
93,2,0,94
94,3,0,94
94,5,0,94
94,3,0,94
94,1,0,84
84,5,0,84
84,2,0,85
85,1,0,75
75,5,0,75
75,4,0,74
74,5,0,74
74,3,0,84
84,1,0,74
74,4,0,73
73,1,0,63
63,4,0,62
62,5,0,62
62,1,0,52
52,1,0,42
42,2,0,43
43,5,0,43
43,2,0,44
44,5,0,44
44,3,0,54
54,4,0,53
53,2,0,54
54,2,0,55
55,3,0,65
65,2,0,66
66,1,0,56
56,3,0,66
66,2,0,67
67,5,0,67
67,2,0,68
68,2,0,69
69,1,0,59
59,2,0,60
60,4,0,59
59,5,0,59
59,1,0,49
49,4,0,48
48,2,0,49
49,5,0,49
49,3,0,59
59,4,0,58
58,1,0,48
48,2,0,49
49,2,0,50
50,1,0,40
40,4,0,39
39,1,0,29
29,3,0,39
39,3,0,49
49,5,0,49
49,2,0,50
50,3,0,60
60,3,0,70
70,1,0,60
60,1,0,50
50,4,0,49
49,4,0,48
48,2,0,49
49,5,0,49
49,5,0,49
49,2,0,50
50,1,0,40
40,3,0,50
50,2,0,50
50,4,0,49
49,2,0,50
50,5,0,50
50,4,0,49
49,2,0,50
50,2,0,50
50,4,0,49
49,4,0,48
48,5,0,48
48,4,0,47
47,5,0,47
47,3,0,57
57,3,0,67
67,5,0,67
67,4,0,66
66,5,0,66
66,5,0,66
66,1,0,56
56,1,0,46
46,1,0,36
36,3,0,46
46,5,0,46
46,4,0,45
45,2,0,46
46,4,0,45
45,1,0,35
35,2,0,36
36,1,0,26
26,5,0,26
26,4,0,25
25,3,0,35
35,5,0,35
35,4,0,34
34,5,0,34
34,2,0,35
35,5,0,35
35,4,0,34
34,2,0,35
35,5,0,35
35,5,0,35
35,2,0,36
36,5,0,36
36,3,0,46
46,3,0,56
56,5,0,56
56,4,0,55
55,3,0,65
65,2,0,66
66,5,0,66
66,5,0,66
66,5,0,66
66,3,0,76
76,2,0,77
77,4,0,76
76,4,0,75
75,4,0,74
74,4,0,73
73,4,0,72
72,3,0,82
82,2,0,83
83,5,0,83
83,4,0,82
82,1,0,72
72,4,0,71
71,2,0,72
72,1,0,62
62,4,0,61
61,3,0,71
71,2,0,72
72,1,0,62
62,2,0,63
63,3,0,73
73,4,0,72
72,2,0,73
73,3,0,83
